,Program,URLs
0,Copay assistance program,https://copays.org/
1,Copay assistance program,https://www.lls.org/support-resources/financial-support/co-pay-assistance-program
2,Copay assistance program,https://www.patientadvocate.org/connect-with-services/copay-relief/
3,Copay assistance program,https://copays.org/patients-family/
4,Copay assistance program,https://www.novartis.com/us-en/patients-and-caregivers/patient-assistance
5,Copay assistance program,https://www.oncolink.org/support/insurance-legal-employment-financial-concerns/access-to-medications/co-pay-assistance-101
6,Copay assistance program,https://www.panfoundation.org/co-payment-assistance/
7,Copay assistance program,https://www.cancercare.org/copayfoundation
8,Copay assistance program,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10394206/
9,Copay assistance program,https://www.gskforyou.com/programs/copay-assistance/
10,Copay assistance program,https://www.goodrx.com/healthcare-access/patient-advocacy/what-are-patient-assistance-programs
11,Copay assistance program,https://www.moffitt.org/patient-family/insurance-financial-information/copay-assistance-program/
12,Copay assistance program,https://www.pfizeroncologytogether.com/patient/financial-assistance
13,Copay assistance program,https://www.paxlovid.com/enroll-in-co-pay-program
14,Copay assistance program,https://www.merck.com/patients/patient-financial-assistance/
15,501c3 charity copay foundation,https://copays.org/patient-advocate-foundation-named-2021-top-rated-nonprofit-by-greatnonprofits/
16,501c3 charity copay foundation,https://copays.org/get-to-know-us/
17,501c3 charity copay foundation,https://www.investopedia.com/terms/1/501c3-organizations.asp
18,501c3 charity copay foundation,https://en.wikipedia.org/wiki/501(c)(3)_organization
19,501c3 charity copay foundation,https://www.pfizer.com/about/responsibility/global-impact/charitable-contributions
20,501c3 charity copay foundation,https://www.bakerdonelson.com/oig-approves-nonprofit-foundations-proposed-copayment-assistance-program
21,501c3 charity copay foundation,https://www.501c3.org/what-is-a-501c3/
22,501c3 charity copay foundation,https://www.panfoundation.org/
23,501c3 charity copay foundation,https://www.healthwellfoundation.org/wp-content/uploads/legacy/files/HWF-white%20paper%20for%20printing.pdf
24,501c3 charity copay foundation,https://www.mygooddays.org/
25,501c3 charity copay foundation,https://www.cancercare.org/copayfoundation
26,501c3 charity copay foundation,https://tafcares.org/
27,501c3 charity copay foundation,https://www.irs.gov/charities-non-profits/charitable-organizations/exemption-requirements-501c3-organizations
28,501c3 charity copay foundation,https://www.patientadvocate.org/
29,501c3 charity copay foundation,https://globalinvestigationsreview.com/review/the-investigations-review-of-the-americas/2018/article/united-states-donating-independent-charitable-co-pay-foundation-considerations-general-counsel-and-chief-compliance-officers
30,patient assistance foundation,https://www.novartis.com/us-en/patients-and-caregivers/patient-assistance/patient-assistance-foundation-enrollment
31,patient assistance foundation,https://www.panfoundation.org/
32,patient assistance foundation,https://www.abbvie.com/patients/patient-support/patient-assistance.html
33,patient assistance foundation,https://www.bmspaf.org/
34,patient assistance foundation,https://copays.org/
35,patient assistance foundation,https://www.novartis.com/us-en/patients-and-caregivers/patient-assistance
36,patient assistance foundation,https://www.jjpaf.org/
37,patient assistance foundation,https://www.patientassistance.bayer.us/en/
38,patient assistance foundation,https://pafcsnf.org/
39,patient assistance foundation,https://www.boehringer-ingelheim.com/us/our-responsibility/patient-assistance-program
40,patient assistance foundation,https://tafcares.org/
41,patient assistance foundation,https://www.pfizerrxpathways.com/%3Cfront%3E
42,patient assistance foundation,https://www.gene.com/patients/patient-foundation
43,patient assistance foundation,https://www.otsukapatientassistance.com/
44,patient assistance foundation,https://www.lillycares.com/
